﻿#Powered_by_ParaTranz;;;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
EVTNAME190401;要求发掘迈锡尼;;;;;;;;;;;;x
EVTDESC190401;$FROMCOUNTRY$发函要求发掘迈锡尼遗迹的权利。鉴于我们自己并没有对这一地区进行发掘所需的技术和资金，把它承包给外国人可能是个不错的决定，但在我们有能力发掘之前让古希腊的秘密沉睡在地下也许更好。但要注意，拒绝外国列强的要求会大大损害我们和他们之间的关系并有损其的国际声望。;;;;;;;;;;;;x
EVTOPTA190401;让他们去吧！;;;;;;;;;;;;x
EVTOPTB190401;这是对$COUNTRY_ADJ$主权的侵犯！;;;;;;;;;;;;x
EVTNAME19041;$FROMCOUNTRY$授予发掘许可;;;;;;;;;;;;x
EVTDESC190411;$FROMCOUNTRY$政府同意给予我们挖掘迈锡尼遗迹的权利。若能有考古成果，那将极大提升我国在科学界的声望。;;;;;;;;;;;;x
EVTNAME19042;$FROMCOUNTRY$拒绝考古提案;;;;;;;;;;;;x
EVTDESC190421;$FROMCOUNTRY$政府拒绝了我们对于发掘迈锡尼的要求。我们的国际威望因此受损，和$FROMCOUNTRY$的关系也变得更为糟糕。;;;;;;;;;;;;x
EVTOPTA19042;啊这;;;;;;;;;;;;x
EVTNAME190431;迈锡尼法律纠纷;;;;;;;;;;;;x
EVTDESC190431;有人对$COUNTRY_ADJ$科考队在希腊的具体行为提出了指控...;;;;;;;;;;;;x
EVTOPTA190431;或许这个问题用钱就能解决？;;;;;;;;;;;;x
EVTOPTB190431;直接带回去！他们还能把我们怎么样？;;;;;;;;;;;;x
