﻿#Powered_by_ParaTranz;;;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
RUS_959;沃伦;;;;;;;;;;;;x
druze;德鲁兹人;;;;;;;;;;;;x
PROV911;马安;;;;;;;;;;;;x
AUS_733;弗留利;;;;;;;;;;;;x
mining_district;矿区;;;;;;;;;;;;x
new_world_semidesert;灌木沙漠;;;;;;;;;;;;x
new_world_desert;沙漠;;;;;;;;;;;;x
new_world_boreal;针叶林;;;;;;;;;;;;x
new_world_montane_tundra;高山苔原;;;;;;;;;;;;x
new_world_arctic;苔原;;;;;;;;;;;;x
new_world_mountain;山地草原;;;;;;;;;;;;x
new_world_jungle;丛林;;;;;;;;;;;;x
new_world_plains;草原;;;;;;;;;;;;x
new_world_small_island;岛屿;;;;;;;;;;;;x
arid_climate;干旱气候;;;;;;;;;;;;x
CANAL_6;英吉利海峡;;;;;;;;;;;;x
GRE_837;阿提卡;;;;;;;;;;;;x
PROV2669;阿姆加;;;;;;;;;;;;x
PROV8;东新;;;;;;;;;;;;x
PROV10;因纽维克;;;;;;;;;;;;x
PROV3320;瓦伊拉泰阿;;;;;;;;;;;;x
PROV3319;瓦希塔希;;;;;;;;;;;;x
PROV3318;塞马湖;;;;;;;;;;;;x
PROV3317;派延奈湖;;;;;;;;;;;;x
PROV3316;奥卢湖;;;;;;;;;;;;x
PROV3315;谢戈泽罗湖;;;;;;;;;;;;x
PROV3314;斯图尔湖;;;;;;;;;;;;x
PROV3313;锡利扬湖;;;;;;;;;;;;x
PROV3312;耶尔马伦湖;;;;;;;;;;;;x
PROV3311;内伊湖;;;;;;;;;;;;x
PROV3310;达赉湖;;;;;;;;;;;;x
PROV3309;纳马克湖;;;;;;;;;;;;x
PROV3308;哈尔乌苏湖;;;;;;;;;;;;x
PROV3307;吉尔吉斯湖;;;;;;;;;;;;x
PROV3306;乌布苏湖;;;;;;;;;;;;x
PROV3305;库苏古尔湖;;;;;;;;;;;;x
PROV3304;斋桑泊湖;;;;;;;;;;;;x
PROV3303;阿拉科尔湖;;;;;;;;;;;;x
PROV3302;兴凯湖;;;;;;;;;;;;x
PROV3301;洪泽湖;;;;;;;;;;;;x
PROV3300;色林错;;;;;;;;;;;;x
PROV3299;东部盐湖;;;;;;;;;;;;x
PROV3298;霍德纳盐湖;;;;;;;;;;;;x
PROV3297;迈勒吉尔盐湖;;;;;;;;;;;;x
PROV3296;杰里德盐湖;;;;;;;;;;;;x
PROV3295;太湖;;;;;;;;;;;;x
PROV3294;姆韦鲁湖;;;;;;;;;;;;x
PROV3293;鲁夸湖;;;;;;;;;;;;x
PROV3292;阿盖尔湖;;;;;;;;;;;;x
PROV3291;麦凯湖;;;;;;;;;;;;x
PROV3290;艾尔湖;;;;;;;;;;;;x
PROV3289;弗罗姆湖;;;;;;;;;;;;x
PROV3288;托伦斯湖;;;;;;;;;;;;x
PROV3287;盖尔德纳湖;;;;;;;;;;;;x
PROV3286;宋卡湖;;;;;;;;;;;;x
PROV3285;法格纳诺湖;;;;;;;;;;;;x
PROV12;佐渡;;;;;;;;;;;;x
PROV29;克孜勒库姆;;;;;;;;;;;;x
urban;城市;;;;;;;;;;;;x
FRA_1901;乌埃;;;;;;;;;;;;x
ASH_1910;沃尔塔;;;;;;;;;;;;x
PROV2702;阿拉尔斯克;;;;;;;;;;;;x
PROV1210;法扎巴德;;;;;;;;;;;;x
PROV1196;乌尔根奇;;;;;;;;;;;;x
PROV686;卡拉库姆;;;;;;;;;;;;x
BUR_1334;曼德勒;;;;;;;;;;;;x
RUS_973;赫尔松-扎波罗热;;;;;;;;;;;;x
PROV3107;库库淖尔;;;;;;;;;;;;x
PROV2589;对马;;;;;;;;;;;;x
PROV1724;奥克尼与设德兰;;;;;;;;;;;;x
PROV1858;阿萨伊塔;;;;;;;;;;;;x
australia_new_zealand;大洋洲;;;;;;;;;;;;x
polynesia;波利尼西亚;;;;;;;;;;;;x
desert;沙漠;;;;;;;;;;;;x
semidesert;半荒漠;;;;;;;;;;;;x
small_island;小岛;;;;;;;;;;;;x
coral_island;环礁;;;;;;;;;;;;x
forest;森林;;;;;;;;;;;;x
boreal;针叶林;;;;;;;;;;;;x
arctic;苔原;;;;;;;;;;;;x
plains;草原;;;;;;;;;;;;x
hills;丘陵草原;;;;;;;;;;;;x
dryhills;干旱丘陵草原;;;;;;;;;;;;x
mountain;山地草原;;;;;;;;;;;;x
montane_tundra;高山苔原;;;;;;;;;;;;x
montane_forest;高山树林;;;;;;;;;;;;x
savanna;疏林草原;;;;;;;;;;;;x
PROV1714;蒂诺加斯塔;;;;;;;;;;;;x
PROV2406;澎湖;;;;;;;;;;;;x
TIB_1591;青藏高原;;;;;;;;;;;;x
PROV2640;瓜德尔;;;;;;;;;;;;x
PROV1071;格什姆;;;;;;;;;;;;x
CAN_18;新喀里多尼亚;;;;;;;;;;;;x
PROV2590;休达;;;;;;;;;;;;x
CHI_1082;关外;;;;;;;;;;;;x
PROV1206;阿穆尔;;;;;;;;;;;;x
RUS_2618;马加丹;;;;;;;;;;;;x
RUS_2621;科雷马;;;;;;;;;;;;x
PROV2647;利福;;;;;;;;;;;;x
PROV2674;阿巴坎;;;;;;;;;;;;x
PROV2614;叶尔羌;;;;;;;;;;;;x
KOK_1190;阿雷;;;;;;;;;;;;x
PROV2414;耶齐拉;;;;;;;;;;;;x
PROV1469;乌梁海;;;;;;;;;;;;x
PROV1205;克孜勒苏;;;;;;;;;;;;x
PROV1204;阿什哈巴德;;;;;;;;;;;;x
PROV1193;亚斯;;;;;;;;;;;;x
PROV2606;巴尔喀什;;;;;;;;;;;;x
ARG_2384;科尔多瓦;;;;;;;;;;;;x
ARG_2393;拉潘帕;;;;;;;;;;;;x
PROV745;里窝那;;;;;;;;;;;;x
BRZ_2428;东北方;;;;;;;;;;;;x
NEJ_1156;哈伊勒;;;;;;;;;;;;x
KOR_1624;汉城;;;;;;;;;;;;x
PROV1624;汉城;;;;;;;;;;;;x
ZUL_2113;祖鲁兰;;;;;;;;;;;;x
PROV1152;吉达;;;;;;;;;;;;x
CAN_13;哥伦比亚;;;;;;;;;;;;x
CAN_19;新喀里多尼亚;;;;;;;;;;;;x
PROV44;关塔那摩湾;;;;;;;;;;;;x
CAN_46;上加拿大;;;;;;;;;;;;x
CAN_50;北安大略;;;;;;;;;;;;x
