﻿#Powered_by_ParaTranz;;;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
BP_TOOL_COLOR_WHITE;白色;;;;;;;;;;;;x
BP_TOOL_COLOR_GREY;灰色;;;;;;;;;;;;x
BP_TOOL_COLOR_BLACK;黑色;;;;;;;;;;;;x
BP_TOOL_COLOR_BROWN;棕色;;;;;;;;;;;;x
BP_TOOL_COLOR_LIGHTBROWN;浅棕色;;;;;;;;;;;;x
BP_TOOL_COLOR_DARKRED;暗红色;;;;;;;;;;;;x
BP_TOOL_COLOR_PINK;粉色;;;;;;;;;;;;x
BP_TOOL_COLOR_ORANGE;橙色;;;;;;;;;;;;x
BP_TOOL_COLOR_PURPLE;紫色;;;;;;;;;;;;x
BP_TOOL_COLOR_DARKGREEN;深绿色;;;;;;;;;;;;x
BP_TOOL_COLOR_LIGHTGREEN;浅绿色;;;;;;;;;;;;x
BP_TOOL_COLOR_LIGHTBLUE;浅蓝色;;;;;;;;;;;;x
BP_TOOL_COLOR_TEXASBLUE;德克萨斯蓝;;;;;;;;;;;;x
BP_TOOL_COLOR_PRUSSIANBLUE;普鲁士蓝;;;;;;;;;;;;x
BP_TOOL_COLOR_BEIGE;米黄色;;;;;;;;;;;;x
BP_TOOL_COLOR_DARKYELLOW;深黄色;;;;;;;;;;;;x
BP_TOOL_COLOR_ORANGEYELLOW;波斯黄;;;;;;;;;;;;x
